날짜,시도지역코드,발생건수(건)
2023-05-26,43,1436
2023-05-26,44,2253
2023-05-26,45,2133
2023-05-26,46,1773
2023-05-26,47,2591
2023-05-26,48,3000
2023-05-26,49,815
2023-05-26,99,50515
2023-05-27,11,790
2023-05-27,26,438
2023-05-27,27,364
2023-05-27,28,254
2023-05-27,29,183
2023-05-27,30,322
2023-05-27,31,124
2023-05-27,41,1432
2023-05-27,42,92
2023-05-27,43,128
2023-05-27,44,247
2023-05-27,45,247
2023-05-27,46,209
2023-05-27,47,281
2023-05-27,48,438
2023-05-27,49,172
2023-05-27,99,5721
2023-05-28,11,408
2023-05-28,26,66
2023-05-28,27,47
2023-05-28,28,134
2023-05-28,29,65
2023-05-28,30,55
2023-05-28,31,31
2023-05-28,41,742
2023-05-28,42,30
2023-05-28,43,35
2023-05-28,44,68
2023-05-28,45,53
2023-05-28,46,77
2023-05-28,47,52
2023-05-28,48,116
2023-05-28,49,121
2023-05-28,99,2101
2023-05-29,11,3580
2023-05-29,26,1312
2023-05-29,27,1051
2023-05-29,28,1078
2023-05-29,29,466
2023-05-29,30,639
2023-05-29,31,334
2023-05-29,41,6445
2023-05-29,42,343
2023-05-29,43,580
2023-05-29,44,1273
2023-05-29,45,622
2023-05-29,46,604
2023-05-29,47,1223
2023-05-29,48,1435
2023-05-29,49,302
2023-05-29,99,21290
2023-05-30,11,10277
2023-05-30,26,3609
2023-05-30,27,2974
2023-05-30,28,2768
2023-05-30,29,1314
2023-05-30,30,1646
2023-05-30,31,871
2023-05-30,41,13981
2023-05-30,42,1641
2023-05-30,43,1771
2023-05-30,44,2410
2023-05-30,45,2448
2023-05-30,46,2079
2023-05-30,47,2937
2023-05-30,48,3310
2023-05-30,49,892
2023-05-30,99,54936
2023-05-31,11,7985
2023-05-31,26,3042
2023-05-31,27,2255
2023-05-31,28,2071
2023-05-31,29,967
2023-05-31,30,1308
2023-05-31,31,661
2023-05-31,41,11112
2023-05-31,42,1276
2023-05-31,43,1237
2023-05-31,44,1876
2023-05-31,45,1922
2023-05-31,46,1560
2023-05-31,47,2200
2023-05-31,48,2694
2023-05-31,49,838
2023-05-31,99,43008
2023-06-01,11,7767
2023-06-01,26,2666
2023-06-01,27,2273
2023-06-01,28,2093
2023-06-01,29,857
2023-06-01,30,1345
2023-06-01,31,588
2023-06-01,41,10897
2023-06-01,42,0
2023-06-01,43,1276
2023-06-01,44,2072
2023-06-01,45,1779
2023-06-01,46,1490
2023-06-01,47,2166
2023-06-01,48,2447
2023-06-01,49,679
2023-06-01,99,41651
2023-06-02,11,8895
2023-06-02,26,3174
2023-06-02,27,2658
2023-06-02,28,2255
2023-06-02,29,1146
2023-06-02,30,1448
2023-06-02,31,665
2023-06-02,41,12694
2023-06-02,42,0
2023-06-02,43,1445
2023-06-02,44,2222
2023-06-02,45,2045
2023-06-02,46,1756
2023-06-02,47,2444
2023-06-02,48,2892
2023-06-02,49,761
2023-06-02,99,47888
2023-06-03,11,5878
2023-06-03,26,2036
2023-06-03,27,1715
2023-06-03,28,1581
2023-06-03,29,772
2023-06-03,30,867
2023-06-03,31,519
2023-06-03,41,8603
2023-06-03,42,1
2023-06-03,43,883
2023-06-03,44,1358
2023-06-03,45,1349
2023-06-03,46,974
2023-06-03,47,1424
2023-06-03,48,1872
2023-06-03,49,408
2023-06-03,99,31019
2023-06-04,11,371
2023-06-04,26,80
2023-06-04,27,38
2023-06-04,28,118
2023-06-04,29,53
2023-06-04,30,49
2023-06-04,31,31
2023-06-04,41,830
2023-06-04,42,0
2023-06-04,43,41
2023-06-04,44,86
2023-06-04,45,36
2023-06-04,46,73
2023-06-04,47,43
2023-06-04,48,88
2023-06-04,49,126
2023-06-04,99,2088
2023-06-05,11,11800
2023-06-05,26,4404
2023-06-05,27,3407
2023-06-05,28,3150
2023-06-05,29,1499
2023-06-05,30,1862
2023-06-05,31,1011
2023-06-05,41,16161
2023-06-05,42,0
2023-06-05,43,1767
2023-06-05,44,2728
2023-06-05,45,2578
2023-06-05,46,2122
2023-06-05,47,3341
2023-06-05,48,3892
2023-06-05,49,960
2023-06-05,99,62367
2023-06-06,11,478
2023-06-06,26,342
2023-06-06,27,223
2023-06-06,28,233
2023-06-06,29,117
2023-06-06,30,208
2023-06-06,31,74
2023-06-06,41,995
2023-06-06,42,0
2023-06-06,43,112
2023-06-06,44,181
2023-06-06,45,109
2023-06-06,46,159
2023-06-06,47,182
2023-06-06,48,304
2023-06-06,49,114
2023-06-06,99,3894
2023-06-07,11,9395
2023-06-07,26,3428
2023-06-07,27,2895
2023-06-07,28,2611
2023-06-07,29,1235
2023-06-07,30,1503
2023-06-07,31,813
2023-06-07,41,12869
2023-06-07,42,0
2023-06-07,43,1619
2023-06-07,44,2383
2023-06-07,45,2263
2023-06-07,46,1837
2023-06-07,47,2697
2023-06-07,48,3228
2023-06-07,49,855
2023-06-07,99,51129
2023-06-08,11,7931
2023-06-08,26,2992
2023-06-08,27,2510
2023-06-08,28,2033
2023-06-08,29,1037
2023-06-08,30,1254
2023-06-08,31,638
