날짜,시도지역코드,발생건수(건)
2023-06-08,26,4460
2023-06-08,27,3080
2023-06-08,28,3455
2023-06-08,29,1806
2023-06-08,30,1877
2023-06-08,31,1281
2023-06-08,41,14317
2023-06-08,42,0
2023-06-08,43,1959
2023-06-08,44,3096
2023-06-08,45,2239
2023-06-08,46,2722
2023-06-08,47,3045
2023-06-08,48,4396
2023-06-08,49,769
2023-06-08,99,60545
2023-06-09,11,12421
2023-06-09,26,5017
2023-06-09,27,3477
2023-06-09,28,4176
2023-06-09,29,1942
2023-06-09,30,2024
2023-06-09,31,1489
2023-06-09,41,16194
2023-06-09,42,0
2023-06-09,43,2349
2023-06-09,44,3419
2023-06-09,45,2491
2023-06-09,46,2863
2023-06-09,47,3483
2023-06-09,48,4873
2023-06-09,49,844
2023-06-09,99,69043
2023-06-10,11,8503
2023-06-10,26,3201
2023-06-10,27,2467
2023-06-10,28,2969
2023-06-10,29,1403
2023-06-10,30,1488
2023-06-10,31,884
2023-06-10,41,12001
2023-06-10,42,1
2023-06-10,43,1661
2023-06-10,44,2267
2023-06-10,45,1534
2023-06-10,46,1871
2023-06-10,47,2154
2023-06-10,48,3438
2023-06-10,49,548
2023-06-10,99,47421
2023-06-11,11,438
2023-06-11,26,146
2023-06-11,27,96
2023-06-11,28,154
2023-06-11,29,22
2023-06-11,30,138
2023-06-11,31,102
2023-06-11,41,877
2023-06-11,42,0
2023-06-11,43,97
2023-06-11,44,138
2023-06-11,45,56
2023-06-11,46,47
2023-06-11,47,86
2023-06-11,48,158
2023-06-11,49,50
2023-06-11,99,2669
2023-06-12,11,14269
2023-06-12,26,6204
2023-06-12,27,4261
2023-06-12,28,4769
2023-06-12,29,2386
2023-06-12,30,2451
2023-06-12,31,1850
2023-06-12,41,19191
2023-06-12,42,1
2023-06-12,43,2844
2023-06-12,44,4167
2023-06-12,45,3183
2023-06-12,46,3687
2023-06-12,47,4076
2023-06-12,48,6119
2023-06-12,49,1139
2023-06-12,99,82810
2023-06-13,11,10967
2023-06-13,26,4653
2023-06-13,27,3199
2023-06-13,28,3630
2023-06-13,29,1872
2023-06-13,30,1884
2023-06-13,31,1423
2023-06-13,41,14683
2023-06-13,42,0
2023-06-13,43,2178
2023-06-13,44,3090
2023-06-13,45,2253
2023-06-13,46,2713
2023-06-13,47,3048
2023-06-13,48,4545
2023-06-13,49,835
2023-06-13,99,62723
2023-06-14,11,9208
2023-06-14,26,4266
2023-06-14,27,2784
2023-06-14,28,3276
2023-06-14,29,1447
2023-06-14,30,1594
2023-06-14,31,1108
2023-06-14,41,12461
2023-06-14,42,1
2023-06-14,43,1723
2023-06-14,44,2652
2023-06-14,45,1789
2023-06-14,46,2321
2023-06-14,47,2628
2023-06-14,48,3881
2023-06-14,49,715
2023-06-14,99,53242
2023-06-15,11,9614
2023-06-15,26,4051
2023-06-15,27,2850
2023-06-15,28,3163
2023-06-15,29,1617
2023-06-15,30,1557
2023-06-15,31,1142
2023-06-15,41,13039
2023-06-15,42,0
2023-06-15,43,1754
2023-06-15,44,2821
2023-06-15,45,1991
2023-06-15,46,2422
2023-06-15,47,2856
2023-06-15,48,3910
2023-06-15,49,777
2023-06-15,99,54934
2023-06-16,11,11878
2023-06-16,26,4816
2023-06-16,27,3182
2023-06-16,28,3980
2023-06-16,29,1943
2023-06-16,30,2012
2023-06-16,31,1424
2023-06-16,41,16123
2023-06-16,42,0
2023-06-16,43,2258
2023-06-16,44,3240
2023-06-16,45,2335
2023-06-16,46,2870
2023-06-16,47,3255
2023-06-16,48,4806
2023-06-16,49,874
2023-06-16,99,66733
2023-06-17,11,8153
2023-06-17,26,3277
2023-06-17,27,2413
2023-06-17,28,2864
2023-06-17,29,1349
2023-06-17,30,1404
2023-06-17,31,837
2023-06-17,41,11651
2023-06-17,42,0
2023-06-17,43,1569
2023-06-17,44,2052
2023-06-17,45,1498
2023-06-17,46,1940
2023-06-17,47,2134
2023-06-17,48,3359
2023-06-17,49,529
2023-06-17,99,45956
2023-06-18,11,484
2023-06-18,26,210
2023-06-18,27,79
2023-06-18,28,173
2023-06-18,29,27
2023-06-18,30,185
2023-06-18,31,85
2023-06-18,41,953
2023-06-18,42,0
2023-06-18,43,98
2023-06-18,44,154
2023-06-18,45,59
2023-06-18,46,62
2023-06-18,47,98
2023-06-18,48,166
2023-06-18,49,40
2023-06-18,99,2943
2023-06-19,11,14621
2023-06-19,26,6316
2023-06-19,27,4178
2023-06-19,28,5006
2023-06-19,29,2445
2023-06-19,30,2531
2023-06-19,31,1792
2023-06-19,41,20119
2023-06-19,42,0
2023-06-19,43,2863
2023-06-19,44,4214
2023-06-19,45,2994
2023-06-19,46,3886
2023-06-19,47,4161
2023-06-19,48,6105
2023-06-19,49,1112
2023-06-19,99,84574
2023-06-20,11,11226
2023-06-20,26,4504
2023-06-20,27,3180
2023-06-20,28,3719
2023-06-20,29,1864
2023-06-20,30,1961
2023-06-20,31,1311
2023-06-20,41,15075
2023-06-20,42,0
2023-06-20,43,2100
2023-06-20,44,3054
2023-06-20,45,2231
2023-06-20,46,2740
2023-06-20,47,3217
2023-06-20,48,4450
2023-06-20,49,894
2023-06-20,99,63218
2023-06-21,11,8987
2023-06-21,26,3828
2023-06-21,27,2610
2023-06-21,28,2940
2023-06-21,29,1401
2023-06-21,30,1643
2023-06-21,31,1055
2023-06-21,41,12415
2023-06-21,42,0
2023-06-21,43,1646
2023-06-21,44,2584
2023-06-21,45,1843
2023-06-21,46,2468
2023-06-21,47,2820
2023-06-21,48,3823
2023-06-21,49,691
2023-06-21,99,52222
2023-06-22,11,9826
2023-06-22,26,3966
2023-06-22,27,2731
2023-06-22,28,3235
2023-06-22,29,1572
2023-06-22,30,1555
2023-06-22,31,1182
2023-06-22,41,13118
2023-06-22,42,0
2023-06-22,43,1771
2023-06-22,44,2838
2023-06-22,45,1944
2023-06-22,46,2380
2023-06-22,47,2868
2023-06-22,48,3991
2023-06-22,49,651
2023-06-22,99,54972
2023-06-23,11,12228
2023-06-23,26,5057
2023-06-23,27,3349
2023-06-23,28,4109
2023-06-23,29,1905
2023-06-23,30,2032
2023-06-23,31,1438
2023-06-23,41,16393
2023-06-23,42,0
2023-06-23,43,2401
2023-06-23,44,3236
2023-06-23,45,2312
2023-06-23,46,2820
2023-06-23,47,3336
2023-06-23,48,4779
2023-06-23,49,790
2023-06-23,99,68032
2023-06-24,11,8062
2023-06-24,26,3187
2023-06-24,27,2242
2023-06-24,28,2939
2023-06-24,29,1271
2023-06-24,30,1397
2023-06-24,31,850
2023-06-24,41,11791
2023-06-24,42,0
2023-06-24,43,1462
2023-06-24,44,2075
2023-06-24,45,1472
2023-06-24,46,1888
2023-06-24,47,2215
2023-06-24,48,3349
2023-06-24,49,505
2023-06-24,99,45586
2023-06-25,11,528
2023-06-25,26,136
2023-06-25,27,94
2023-06-25,28,151
2023-06-25,29,27
2023-06-25,30,187
2023-06-25,31,75
2023-06-25,41,994
2023-06-25,42,0
2023-06-25,43,103
2023-06-25,44,171
2023-06-25,45,70
2023-06-25,46,68
2023-06-25,47,84
2023-06-25,48,131
2023-06-25,49,33
2023-06-25,99,2894
2023-06-26,11,14087
2023-06-26,26,5801
2023-06-26,27,3896
2023-06-26,28,4689
2023-06-26,29,2204
2023-06-26,30,2330
2023-06-26,31,1702
2023-06-26,41,19489
2023-06-26,42,0
2023-06-26,43,2830
2023-06-26,44,4235
2023-06-26,45,3122
2023-06-26,46,3572
2023-06-26,47,4108
2023-06-26,48,5763
2023-06-26,49,1054
2023-06-26,99,81075
2023-06-27,11,11556
2023-06-27,26,4539
2023-06-27,27,3194
2023-06-27,28,3871
2023-06-27,29,1704
2023-06-27,30,1864
2023-06-27,31,1296
2023-06-27,41,15659
2023-06-27,42,0
2023-06-27,43,2227
2023-06-27,44,3320
2023-06-27,45,2389
2023-06-27,46,2650
2023-06-27,47,3094
2023-06-27,48,4658
2023-06-27,49,769
2023-06-27,99,64522
2023-06-28,11,9869
2023-06-28,26,4008
2023-06-28,27,2759
2023-06-28,28,3435
2023-06-28,29,1310
2023-06-28,30,1620
2023-06-28,31,1135
2023-06-28,41,13089
2023-06-28,42,0
2023-06-28,43,1783
2023-06-28,44,2641
2023-06-28,45,1671
2023-06-28,46,2189
2023-06-28,47,2833
2023-06-28,48,3727
2023-06-28,49,717
2023-06-28,99,54355
2023-06-29,11,8031
2023-06-29,26,3779
2023-06-29,27,2601
2023-06-29,28,2710
2023-06-29,29,1406
2023-06-29,30,1434
2023-06-29,31,1168
2023-06-29,41,11221
2023-06-29,42,0
2023-06-29,43,1645
2023-06-29,44,2533
2023-06-29,45,1847
2023-06-29,46,2307
2023-06-29,47,2882
2023-06-29,48,3746
2023-06-29,49,781
2023-06-29,99,49429
2023-06-30,11,12544
2023-06-30,26,4643
2023-06-30,27,3100
2023-06-30,28,4427
2023-06-30,29,1756
2023-06-30,30,2028
2023-06-30,31,1389
2023-06-30,41,16844
2023-06-30,42,0
2023-06-30,43,2400
2023-06-30,44,3479
2023-06-30,45,2477
2023-06-30,46,2758
2023-06-30,47,3183
2023-06-30,48,4644
2023-06-30,49,794
2023-06-30,99,68318
2023-07-01,11,8300
2023-07-01,26,3311
2023-07-01,27,2443
2023-07-01,28,3080
2023-07-01,29,1290
2023-07-01,30,1415
2023-07-01,31,938
2023-07-01,41,12169
2023-07-01,42,0
2023-07-01,43,1607
2023-07-01,44,2155
2023-07-01,45,1511
2023-07-01,46,1781
2023-07-01,47,2181
2023-07-01,48,3310
2023-07-01,49,542
2023-07-01,99,47076
2023-07-02,11,506
2023-07-02,26,179
2023-07-02,27,73
2023-07-02,28,194
2023-07-02,29,29
2023-07-02,30,191
2023-07-02,31,111
2023-07-02,41,1076
2023-07-02,43,140
2023-07-02,44,169
2023-07-02,45,57
2023-07-02,46,79
2023-07-02,47,61
2023-07-02,48,166
2023-07-02,49,48
2023-07-02,99,3156
2023-07-03,11,14969
2023-07-03,26,6107
2023-07-03,27,4049
2023-07-03,28,4944
2023-07-03,29,2370
2023-07-03,30,2573
2023-07-03,31,1933
