날짜,시군구지역코드,발생건수(건)
2023-05-03,28200,226
2023-05-03,28237,293
2023-05-03,28245,107
2023-05-03,28260,282
2023-05-03,28710,48
2023-05-03,28720,3
2023-05-03,29110,70
2023-05-03,29140,109
2023-05-03,29155,167
2023-05-03,29170,243
2023-05-03,29200,166
2023-05-03,30110,90
2023-05-03,30140,93
2023-05-03,30170,225
2023-05-03,30200,217
2023-05-03,30230,87
2023-05-03,31110,103
2023-05-03,31140,139
2023-05-03,31170,48
2023-05-03,31200,171
2023-05-03,31710,101
2023-05-03,36110,218
2023-05-03,41111,140
2023-05-03,41113,190
2023-05-03,41115,110
2023-05-03,41117,175
2023-05-03,41131,101
2023-05-03,41133,71
2023-05-03,41135,167
2023-05-03,41150,169
2023-05-03,41171,104
2023-05-03,41173,175
2023-05-03,41190,395
2023-05-03,41210,121
2023-05-03,41220,288
2023-05-03,41250,32
2023-05-03,41271,149
2023-05-03,41273,155
2023-05-03,41281,214
2023-05-03,41285,120
2023-05-03,41287,125
2023-05-03,41290,20
2023-05-03,41310,80
2023-05-03,41360,278
2023-05-03,41370,91
2023-05-03,41390,169
2023-05-03,41410,119
2023-05-03,41430,62
2023-05-03,41450,175
2023-05-03,41461,116
2023-05-03,41463,182
2023-05-03,41465,227
2023-05-03,41480,254
2023-05-03,41500,65
2023-05-03,41550,74
2023-05-03,41570,288
2023-05-03,41590,384
2023-05-03,41610,163
2023-05-03,41630,132
2023-05-03,41650,58
2023-05-03,41670,34
2023-05-03,41800,20
2023-05-03,41820,34
2023-05-03,41830,58
2023-05-03,42110,192
2023-05-03,42130,157
2023-05-03,42150,70
2023-05-03,42170,27
2023-05-03,42190,15
2023-05-03,42210,74
2023-05-03,42230,18
2023-05-03,42720,30
2023-05-03,42730,19
2023-05-03,42750,13
2023-05-03,42760,15
2023-05-03,42770,13
2023-05-03,42780,30
2023-05-03,42790,8
2023-05-03,42800,9
2023-05-03,42810,29
2023-05-03,42820,17
2023-05-03,42830,13
2023-05-03,43111,118
2023-05-03,43112,104
2023-05-03,43113,114
2023-05-03,43114,121
2023-05-03,43130,101
2023-05-03,43150,74
2023-05-03,43720,19
2023-05-03,43730,34
2023-05-03,43740,28
2023-05-03,43745,17
2023-05-03,43750,22
2023-05-03,43760,9
2023-05-03,43770,36
2023-05-03,43800,9
2023-05-03,44131,110
2023-05-03,44133,186
2023-05-03,44150,71
2023-05-03,44180,87
2023-05-03,44200,197
2023-05-03,44210,51
2023-05-03,44230,35
2023-05-03,44250,11
2023-05-03,44270,158
2023-05-03,44710,16
2023-05-03,44760,24
2023-05-03,44770,19
2023-05-03,44790,9
2023-05-03,44800,87
2023-05-03,44810,71
2023-05-03,44825,31
2023-05-03,45111,142
2023-05-03,45113,142
2023-05-03,45130,122
2023-05-03,45140,229
2023-05-03,45180,77
2023-05-03,45190,45
2023-05-03,45210,34
2023-05-03,45710,53
2023-05-03,45720,12
2023-05-03,45730,27
2023-05-03,45740,21
2023-05-03,45750,11
2023-05-03,45770,13
2023-05-03,45790,25
2023-05-03,45800,27
2023-05-03,46110,124
2023-05-03,46130,130
2023-05-03,46150,283
2023-05-03,46170,72
2023-05-03,46230,67
