날짜,시도지역코드,발생건수(건)
2023-06-09,31,10538
2023-06-09,41,121281
2023-06-09,42,0
2023-06-09,43,12803
2023-06-09,44,22096
2023-06-09,45,14579
2023-06-09,46,13605
2023-06-09,47,19519
2023-06-09,48,27335
2023-06-09,49,6583
2023-06-09,99,436345
2023-06-10,11,63406
2023-06-10,26,22812
2023-06-10,27,14882
2023-06-10,28,20151
2023-06-10,29,9430
2023-06-10,30,10186
2023-06-10,31,7896
2023-06-10,41,97911
2023-06-10,42,2
2023-06-10,43,9766
2023-06-10,44,17308
2023-06-10,45,10784
2023-06-10,46,10401
2023-06-10,47,14160
2023-06-10,48,20570
2023-06-10,49,4726
2023-06-10,99,341466
2023-06-11,11,10598
2023-06-11,26,3861
2023-06-11,27,2040
2023-06-11,28,4340
2023-06-11,29,2051
2023-06-11,30,3482
2023-06-11,31,1426
2023-06-11,41,25651
2023-06-11,42,0
2023-06-11,43,2682
2023-06-11,44,4287
2023-06-11,45,2160
2023-06-11,46,2806
2023-06-11,47,2398
2023-06-11,48,3433
2023-06-11,49,1517
2023-06-11,99,74047
2023-06-12,11,102534
2023-06-12,26,37903
2023-06-12,27,23789
2023-06-12,28,32819
2023-06-12,29,14427
2023-06-12,30,15205
2023-06-12,31,13224
2023-06-12,41,156662
2023-06-12,42,1
2023-06-12,43,15751
2023-06-12,44,27941
2023-06-12,45,17967
2023-06-12,46,16647
2023-06-12,47,24075
2023-06-12,48,34098
2023-06-12,49,8554
2023-06-12,99,555222
2023-06-13,11,70331
2023-06-13,26,25547
2023-06-13,27,15973
2023-06-13,28,23032
2023-06-13,29,10365
2023-06-13,30,10871
2023-06-13,31,8901
2023-06-13,41,111334
2023-06-13,42,1
2023-06-13,43,11262
2023-06-13,44,19991
2023-06-13,45,12852
2023-06-13,46,12225
2023-06-13,47,16502
2023-06-13,48,23478
2023-06-13,49,6127
2023-06-13,99,388225
2023-06-14,11,64194
2023-06-14,26,23739
2023-06-14,27,14449
2023-06-14,28,21305
2023-06-14,29,9301
2023-06-14,30,9842
2023-06-14,31,7504
2023-06-14,41,99661
2023-06-14,42,3
2023-06-14,43,9856
2023-06-14,44,17547
2023-06-14,45,11346
2023-06-14,46,11078
2023-06-14,47,14515
2023-06-14,48,20684
2023-06-14,49,5214
2023-06-14,99,348163
2023-06-15,11,70339
2023-06-15,26,25784
2023-06-15,27,16223
2023-06-15,28,23385
2023-06-15,29,10502
2023-06-15,30,11031
2023-06-15,31,8590
2023-06-15,41,111664
2023-06-15,42,1
2023-06-15,43,11467
2023-06-15,44,19809
2023-06-15,45,12678
2023-06-15,46,11891
2023-06-15,47,16100
2023-06-15,48,23126
2023-06-15,49,5748
2023-06-15,99,387563
2023-06-16,11,78308
2023-06-16,26,28017
2023-06-16,27,17571
2023-06-16,28,25022
2023-06-16,29,11380
2023-06-16,30,11602
2023-06-16,31,9765
2023-06-16,41,120915
2023-06-16,42,3
