날짜,시도지역코드,발생건수(건)
2023-06-09,99,20750
2023-06-10,11,2279
2023-06-10,26,847
2023-06-10,27,656
2023-06-10,28,835
2023-06-10,29,444
2023-06-10,30,407
2023-06-10,31,342
2023-06-10,41,3287
2023-06-10,42,0
2023-06-10,43,412
2023-06-10,44,874
2023-06-10,45,461
2023-06-10,46,666
2023-06-10,47,687
2023-06-10,48,1001
2023-06-10,49,202
2023-06-10,99,13683
2023-06-11,11,244
2023-06-11,26,85
2023-06-11,27,85
2023-06-11,28,171
2023-06-11,29,39
2023-06-11,30,80
2023-06-11,31,14
2023-06-11,41,701
2023-06-11,42,0
2023-06-11,43,47
2023-06-11,44,229
2023-06-11,45,54
2023-06-11,46,160
2023-06-11,47,94
2023-06-11,48,135
2023-06-11,49,27
2023-06-11,99,2229
2023-06-12,11,4367
2023-06-12,26,1660
2023-06-12,27,1203
2023-06-12,28,1510
2023-06-12,29,729
2023-06-12,30,647
2023-06-12,31,581
2023-06-12,41,5983
2023-06-12,42,0
2023-06-12,43,858
2023-06-12,44,1484
2023-06-12,45,1152
2023-06-12,46,1259
2023-06-12,47,1324
2023-06-12,48,1839
2023-06-12,49,421
2023-06-12,99,25756
2023-06-13,11,3233
2023-06-13,26,1213
2023-06-13,27,876
2023-06-13,28,989
2023-06-13,29,546
2023-06-13,30,456
2023-06-13,31,438
2023-06-13,41,4528
2023-06-13,42,0
2023-06-13,43,567
2023-06-13,44,1177
2023-06-13,45,934
2023-06-13,46,977
2023-06-13,47,1071
2023-06-13,48,1345
2023-06-13,49,310
2023-06-13,99,19294
2023-06-14,11,2946
2023-06-14,26,1226
2023-06-14,27,814
2023-06-14,28,978
2023-06-14,29,503
2023-06-14,30,450
2023-06-14,31,407
2023-06-14,41,4147
2023-06-14,42,0
2023-06-14,43,551
2023-06-14,44,1009
2023-06-14,45,751
2023-06-14,46,816
2023-06-14,47,909
2023-06-14,48,1179
2023-06-14,49,217
2023-06-14,99,17426
2023-06-15,11,3135
2023-06-15,26,1330
2023-06-15,27,825
2023-06-15,28,1108
2023-06-15,29,491
2023-06-15,30,488
2023-06-15,31,395
2023-06-15,41,4276
2023-06-15,42,0
2023-06-15,43,636
2023-06-15,44,1158
2023-06-15,45,796
2023-06-15,46,977
2023-06-15,47,992
2023-06-15,48,1295
2023-06-15,49,320
2023-06-15,99,18715
2023-06-16,11,3436
2023-06-16,26,1401
2023-06-16,27,923
2023-06-16,28,1166
2023-06-16,29,649
2023-06-16,30,550
2023-06-16,31,448
2023-06-16,41,4875
2023-06-16,42,0
2023-06-16,43,675
2023-06-16,44,1172
2023-06-16,45,981
2023-06-16,46,1022
2023-06-16,47,1116
2023-06-16,48,1384
2023-06-16,49,311
2023-06-16,99,20656
2023-06-17,11,2284
2023-06-17,26,787
2023-06-17,27,576
2023-06-17,28,765
2023-06-17,29,421
2023-06-17,30,347
2023-06-17,31,306
2023-06-17,41,3231
2023-06-17,42,0
2023-06-17,43,374
2023-06-17,44,789
2023-06-17,45,456
2023-06-17,46,607
2023-06-17,47,570
2023-06-17,48,918
2023-06-17,49,189
2023-06-17,99,12875
2023-06-18,11,219
2023-06-18,26,91
2023-06-18,27,80
2023-06-18,28,163
2023-06-18,29,23
2023-06-18,30,84
2023-06-18,31,18
2023-06-18,41,655
2023-06-18,42,0
2023-06-18,43,76
2023-06-18,44,229
2023-06-18,45,52
2023-06-18,46,156
2023-06-18,47,64
2023-06-18,48,145
2023-06-18,49,24
2023-06-18,99,2118
2023-06-19,11,4072
2023-06-19,26,1659
2023-06-19,27,1098
2023-06-19,28,1445
2023-06-19,29,731
2023-06-19,30,630
2023-06-19,31,517
2023-06-19,41,5693
2023-06-19,42,1
2023-06-19,43,753
2023-06-19,44,1420
2023-06-19,45,1063
2023-06-19,46,1283
2023-06-19,47,1316
2023-06-19,48,1718
2023-06-19,49,368
2023-06-19,99,24422
2023-06-20,11,3176
2023-06-20,26,1300
2023-06-20,27,809
2023-06-20,28,1040
2023-06-20,29,568
2023-06-20,30,508
2023-06-20,31,405
2023-06-20,41,4385
2023-06-20,42,0
2023-06-20,43,561
2023-06-20,44,1238
2023-06-20,45,859
2023-06-20,46,955
2023-06-20,47,991
2023-06-20,48,1310
2023-06-20,49,310
2023-06-20,99,18947
2023-06-21,11,2836
2023-06-21,26,1119
2023-06-21,27,762
2023-06-21,28,967
2023-06-21,29,463
2023-06-21,30,513
2023-06-21,31,357
2023-06-21,41,4139
2023-06-21,42,0
2023-06-21,43,507
2023-06-21,44,1034
2023-06-21,45,776
2023-06-21,46,880
2023-06-21,47,919
2023-06-21,48,1219
2023-06-21,49,208
2023-06-21,99,17172
2023-06-22,11,3116
2023-06-22,26,1264
2023-06-22,27,814
2023-06-22,28,1067
2023-06-22,29,510
2023-06-22,30,450
2023-06-22,31,374
2023-06-22,41,4396
2023-06-22,42,0
2023-06-22,43,593
2023-06-22,44,1176
2023-06-22,45,742
2023-06-22,46,885
2023-06-22,47,977
2023-06-22,48,1285
2023-06-22,49,254
2023-06-22,99,18398
2023-06-23,11,3382
2023-06-23,26,1403
2023-06-23,27,918
2023-06-23,28,1133
2023-06-23,29,556
2023-06-23,30,541
2023-06-23,31,431
2023-06-23,41,4681
2023-06-23,42,0
2023-06-23,43,609
2023-06-23,44,1150
2023-06-23,45,850
2023-06-23,46,978
2023-06-23,47,1054
2023-06-23,48,1424
2023-06-23,49,295
2023-06-23,99,19912
2023-06-24,11,2075
2023-06-24,26,778
2023-06-24,27,619
2023-06-24,28,738
2023-06-24,29,380
2023-06-24,30,357
2023-06-24,31,295
2023-06-24,41,3219
2023-06-24,42,0
2023-06-24,43,367
2023-06-24,44,754
2023-06-24,45,488
2023-06-24,46,578
2023-06-24,47,604
2023-06-24,48,891
2023-06-24,49,183
2023-06-24,99,12578
2023-06-25,11,224
2023-06-25,26,53
2023-06-25,27,95
2023-06-25,28,174
2023-06-25,29,61
2023-06-25,30,88
2023-06-25,31,12
2023-06-25,41,677
2023-06-25,42,0
2023-06-25,43,43
2023-06-25,44,227
2023-06-25,45,80
2023-06-25,46,172
2023-06-25,47,78
2023-06-25,48,152
2023-06-25,49,18
2023-06-25,99,2176
2023-06-26,11,3962
2023-06-26,26,1561
2023-06-26,27,1055
2023-06-26,28,1366
2023-06-26,29,677
2023-06-26,30,591
2023-06-26,31,547
2023-06-26,41,5706
2023-06-26,42,0
2023-06-26,43,761
2023-06-26,44,1495
2023-06-26,45,1104
2023-06-26,46,1286
2023-06-26,47,1352
2023-06-26,48,1665
2023-06-26,49,365
2023-06-26,99,24172
2023-06-27,11,3086
2023-06-27,26,1236
2023-06-27,27,796
2023-06-27,28,1092
2023-06-27,29,593
2023-06-27,30,458
2023-06-27,31,402
2023-06-27,41,4553
2023-06-27,42,0
2023-06-27,43,564
2023-06-27,44,1182
2023-06-27,45,898
2023-06-27,46,962
2023-06-27,47,1071
2023-06-27,48,1247
2023-06-27,49,280
2023-06-27,99,19042
2023-06-28,11,2967
2023-06-28,26,1129
2023-06-28,27,781
2023-06-28,28,982
2023-06-28,29,450
2023-06-28,30,464
2023-06-28,31,367
2023-06-28,41,3984
2023-06-28,42,0
2023-06-28,43,559
2023-06-28,44,999
2023-06-28,45,747
2023-06-28,46,756
2023-06-28,47,933
2023-06-28,48,1136
2023-06-28,49,205
2023-06-28,99,16935
2023-06-29,11,2589
2023-06-29,26,1083
2023-06-29,27,749
2023-06-29,28,971
2023-06-29,29,486
2023-06-29,30,392
2023-06-29,31,383
2023-06-29,41,3779
2023-06-29,42,0
2023-06-29,43,496
2023-06-29,44,1061
2023-06-29,45,750
2023-06-29,46,859
2023-06-29,47,968
2023-06-29,48,1158
2023-06-29,49,282
2023-06-29,99,16503
2023-06-30,11,3402
2023-06-30,26,1208
2023-06-30,27,768
2023-06-30,28,1151
2023-06-30,29,566
2023-06-30,30,488
2023-06-30,31,418
2023-06-30,41,4820
2023-06-30,42,0
2023-06-30,43,650
2023-06-30,44,1190
2023-06-30,45,832
2023-06-30,46,949
2023-06-30,47,1060
2023-06-30,48,1311
2023-06-30,49,204
2023-06-30,99,19579
2023-07-01,11,2216
2023-07-01,26,882
2023-07-01,27,673
2023-07-01,28,894
2023-07-01,29,467
2023-07-01,30,451
2023-07-01,31,361
2023-07-01,41,3467
2023-07-01,42,0
2023-07-01,43,383
2023-07-01,44,955
2023-07-01,45,616
2023-07-01,46,755
2023-07-01,47,760
2023-07-01,48,1057
2023-07-01,49,200
2023-07-01,99,14453
2023-07-02,11,243
2023-07-02,26,90
2023-07-02,27,90
2023-07-02,28,257
2023-07-02,29,74
2023-07-02,30,104
2023-07-02,31,10
2023-07-02,41,736
2023-07-02,43,68
2023-07-02,44,225
2023-07-02,45,61
2023-07-02,46,146
2023-07-02,47,96
2023-07-02,48,155
2023-07-02,49,15
2023-07-02,99,2412
2023-07-03,11,4001
2023-07-03,26,1592
2023-07-03,27,1133
2023-07-03,28,1441
2023-07-03,29,705
2023-07-03,30,631
2023-07-03,31,526
2023-07-03,41,5756
2023-07-03,42,0
2023-07-03,43,755
2023-07-03,44,1601
2023-07-03,45,1056
2023-07-03,46,1220
2023-07-03,47,1324
2023-07-03,48,1692
2023-07-03,49,381
2023-07-03,99,24470
2023-07-04,11,2926
2023-07-04,26,1181
2023-07-04,27,781
2023-07-04,28,933
2023-07-04,29,560
2023-07-04,30,476
2023-07-04,31,353
2023-07-04,41,4088
2023-07-04,42,0
2023-07-04,43,534
2023-07-04,44,1099
2023-07-04,45,785
2023-07-04,46,894
2023-07-04,47,970
2023-07-04,48,1238
2023-07-04,49,253
2023-07-04,99,17576
2023-07-05,11,2911
2023-07-05,26,1152
2023-07-05,27,823
2023-07-05,28,1063
2023-07-05,29,462
2023-07-05,30,552
2023-07-05,31,342
2023-07-05,41,4322
2023-07-05,42,0
2023-07-05,43,573
2023-07-05,44,1110
2023-07-05,45,743
2023-07-05,46,878
2023-07-05,47,929
2023-07-05,48,1158
2023-07-05,49,180
2023-07-05,99,17656
2023-07-06,11,3116
2023-07-06,26,1154
2023-07-06,27,836
2023-07-06,28,1112
2023-07-06,29,536
2023-07-06,30,458
2023-07-06,31,377
2023-07-06,41,4337
2023-07-06,42,0
2023-07-06,43,578
2023-07-06,44,1211
2023-07-06,45,786
2023-07-06,46,957
2023-07-06,47,934
2023-07-06,48,1280
2023-07-06,49,289
2023-07-06,99,18455
2023-07-07,11,3387
2023-07-07,26,1267
2023-07-07,27,783
2023-07-07,28,1167
2023-07-07,29,544
2023-07-07,30,461
2023-07-07,31,373
2023-07-07,41,4837
2023-07-07,42,0
2023-07-07,43,633
2023-07-07,44,1189
2023-07-07,45,803
2023-07-07,46,885
2023-07-07,47,949
2023-07-07,48,1244
2023-07-07,49,293
2023-07-07,99,19367
2023-07-08,11,2173
2023-07-08,26,783
2023-07-08,27,672
2023-07-08,28,859
2023-07-08,29,414
2023-07-08,30,384
2023-07-08,31,284
2023-07-08,41,3329
2023-07-08,42,0
2023-07-08,43,487
2023-07-08,44,893
2023-07-08,45,533
2023-07-08,46,700
2023-07-08,47,649
2023-07-08,48,985
2023-07-08,49,138
2023-07-08,99,13535
2023-07-09,11,219
2023-07-09,26,62
2023-07-09,27,73
2023-07-09,28,232
2023-07-09,29,45
2023-07-09,30,99
2023-07-09,31,11
2023-07-09,41,815
2023-07-09,42,0
2023-07-09,43,54
2023-07-09,44,284
2023-07-09,45,65
2023-07-09,46,139
2023-07-09,47,87
2023-07-09,48,137
2023-07-09,49,13
2023-07-09,99,2370
2023-07-10,11,4224
2023-07-10,26,1651
2023-07-10,27,1081
2023-07-10,28,1584
2023-07-10,29,717
2023-07-10,30,707
2023-07-10,31,482
2023-07-10,41,5971
2023-07-10,42,0
2023-07-10,43,826
2023-07-10,44,1642
2023-07-10,45,1066
2023-07-10,46,1344
2023-07-10,47,1328
2023-07-10,48,1799
2023-07-10,49,387
2023-07-10,99,25489
2023-07-11,11,2684
2023-07-11,26,1100
2023-07-11,27,760
2023-07-11,28,1011
2023-07-11,29,527
2023-07-11,30,479
2023-07-11,31,370
2023-07-11,41,4048
2023-07-11,42,0
2023-07-11,43,621
2023-07-11,44,1212
2023-07-11,45,814
